TimeStamp, BettingHouse,League_Tournament, EventID, EventName, EventScore, EventTime, EventPeriod, OddsLocal, OddsDraw, OddsVisitor
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Brasil - Serie B,251907233,EC Vitória - Confianca SE,0-1,27:50,1ª Mitad,4.20,3.00,1.95
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - EE.UU - MLS,249590590,New York Red Bulls - Inter Miami CF,0-0,20:33,1ª Mitad,1.50,3.80,7.00
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Uruguay - Primera División,252626204,Montevideo Wanderers - Torque,0-1,83:10,Segunda Mitad,41.00,5.25,1.142
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Venezuela - Primera División,251757086,Carabobo FC - Yaracuyanos FC,0-0,11:03,1ª Mitad,2.375,2.875,3.00
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Brasil - Serie C,253234909,Novorizontino SP - Ypiranga RS,0-0,27:48,1ª Mitad,2.25,2.40,4.20
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Brazil - Serie D,,America RN - Campinense PB,0-0,95:37,Segunda Mitad,2.25,2.40,4.20
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Chile - Primera B,253007796,CD Arturo Fernandez Vial - CSD Rangers,1-2,65:33,Segunda Mitad,6.50,2.875,1.666
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Colombia - Liga Antioqueña de Fútbol,253936604,Rionegros Aguilas(R) - La Chalaca,3-1,60:34,Segunda Mitad,6.50,2.875,1.666
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - El Salvador - Primera Division,252777395,Municipal Limeno - Once Deportivo,0-0,70:48,Segunda Mitad,2.70,1.70,7.50
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - El Salvador - Primera Division,252777368,CD Platense Zacatecoluca - Luis Ángel Firpo,1-0,45:00,1ª Mitad,1.40,3.60,9.00
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Guatemala - Liga Nacional,252357357,Csd Municipal - FC Santa Lucia Cotzumalguapa,0-1,62:51,Segunda Mitad,11.00,3.70,1.35
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Honduras - Liga Nacional,253552535,CD Marathon - Honduras Progreso,1-1,64:45,Segunda Mitad,1.95,2.10,7.50
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Panama - Liga Panamena,251563544,Sporting San Miguelito - San Francisco FC,1-1,70:09,Segunda Mitad,4.20,1.666,4.20
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Mexico - Segunda Division,252809149,Inter de Queretaro FC - Cafetaleros de Chiapas,0-1,53:29,Segunda Mitad,19.00,5.75,1.142
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Mexico - Segunda Division,253019023,Atletico Saltillo - Correcaminos II,1-0,45:00,1ª Mitad,1.285,4.333,11.00
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Mexico - Segunda Division,253019086,Sporting Canamy - Canoneros Marina,0-0,27:43,1ª Mitad,2.00,3.00,3.70
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Panama - Liga Prom,252671898,Arabe Unido (R) - Plaza Amador (R),1-0,68:30,Segunda Mitad,1.25,4.00,17.00
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Panama - Liga Prom,252801723,Panama City FC - CD Centenario,0-0,68:26,Segunda Mitad,3.45,1.727,4.00
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Panama - Liga Prom,252519110,Alianza FC (R) - Colón C-3 FC,0-0,28:46,1ª Mitad,1.42,3.50,8.00
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Peru - Segunda Division,253238924,Union Comercio - FC Carlos Stein,0-0,45:00,1ª Mitad,2.70,2.30,3.10
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Guatemala - Primera Division,253906959,Aurora - Deportivo Agua Blanca,2-0,72:09,Segunda Mitad,1.071,6.00,46.00
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Guatemala - Primera Division,253908009,Deportivo Mixco - Juventud Pinulteca,1-0,45:00,1ª Mitad,1.35,3.70,9.00
